Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
301, 11/28/2024, 13:14:28.307,0.00032203
302, 11/28/2024, 13:14:29.317,0.00032204
303, 11/28/2024, 13:14:30.331,0.00032216
304, 11/28/2024, 13:14:31.348,0.0003221
305, 11/28/2024, 13:14:32.361,0.00032221
306, 11/28/2024, 13:14:33.370,0.00032221
307, 11/28/2024, 13:14:34.386,0.0003222
308, 11/28/2024, 13:14:35.401,0.00032218
309, 11/28/2024, 13:14:36.413,0.00032217
310, 11/28/2024, 13:14:37.423,0.00032223
311, 11/28/2024, 13:14:38.437,0.00032217
312, 11/28/2024, 13:14:39.449,0.00032211
313, 11/28/2024, 13:14:40.461,0.00032209
314, 11/28/2024, 13:14:41.475,0.00032207
315, 11/28/2024, 13:14:42.488,0.00032211
316, 11/28/2024, 13:14:43.498,0.00032209
317, 11/28/2024, 13:14:44.508,0.00032201
318, 11/28/2024, 13:14:45.522,0.00032206
319, 11/28/2024, 13:14:46.535,0.0003221
320, 11/28/2024, 13:14:47.545,0.00032206
321, 11/28/2024, 13:14:48.557,0.00032213
322, 11/28/2024, 13:14:49.569,0.00032211
323, 11/28/2024, 13:14:50.584,0.00032216
324, 11/28/2024, 13:14:51.596,0.00032219
325, 11/28/2024, 13:14:52.608,0.00032223
326, 11/28/2024, 13:14:53.622,0.00032224
327, 11/28/2024, 13:14:54.635,0.00032219
328, 11/28/2024, 13:14:55.649,0.00032219
329, 11/28/2024, 13:14:56.658,0.00032216
330, 11/28/2024, 13:14:57.668,0.00032221
331, 11/28/2024, 13:14:58.682,0.00032216
332, 11/28/2024, 13:14:59.696,0.00032211
333, 11/28/2024, 13:15:00.712,0.00032208
334, 11/28/2024, 13:15:01.722,0.00032207
335, 11/28/2024, 13:15:02.734,0.00032204
336, 11/28/2024, 13:15:03.749,0.00032212
337, 11/28/2024, 13:15:04.763,0.00032215
338, 11/28/2024, 13:15:05.776,0.00032219
339, 11/28/2024, 13:15:06.788,0.00032221
340, 11/28/2024, 13:15:07.801,0.00032229
341, 11/28/2024, 13:15:08.814,0.00032226
342, 11/28/2024, 13:15:09.824,0.00032218
343, 11/28/2024, 13:15:10.836,0.00032214
344, 11/28/2024, 13:15:11.851,0.00032218
345, 11/28/2024, 13:15:12.861,0.00032216
346, 11/28/2024, 13:15:13.873,0.00032215
347, 11/28/2024, 13:15:14.149,0.00032217
348, 11/28/2024, 13:15:15.163,0.00032224
349, 11/28/2024, 13:15:16.176,0.00032231
350, 11/28/2024, 13:15:17.192,0.00032232
351, 11/28/2024, 13:15:18.206,0.00032231
352, 11/28/2024, 13:15:19.218,0.00032229
353, 11/28/2024, 13:15:20.230,0.00032218
354, 11/28/2024, 13:15:21.245,0.00032222
355, 11/28/2024, 13:15:22.261,0.00032215
356, 11/28/2024, 13:15:23.277,0.0003222
357, 11/28/2024, 13:15:24.292,0.00032217
358, 11/28/2024, 13:15:25.304,0.0003222
359, 11/28/2024, 13:15:26.318,0.00032226
360, 11/28/2024, 13:15:27.330,0.0003223
361, 11/28/2024, 13:15:28.344,0.00032225
362, 11/28/2024, 13:15:29.358,0.0003222
363, 11/28/2024, 13:15:30.371,0.00032222
364, 11/28/2024, 13:15:31.380,0.00032211
365, 11/28/2024, 13:15:32.391,0.00032214
366, 11/28/2024, 13:15:33.406,0.00032216
367, 11/28/2024, 13:15:34.424,0.00032213
368, 11/28/2024, 13:15:35.433,0.00032215
369, 11/28/2024, 13:15:36.452,0.00032221
370, 11/28/2024, 13:15:37.461,0.00032225
371, 11/28/2024, 13:15:38.469,0.00032229
372, 11/28/2024, 13:15:39.480,0.00032227
373, 11/28/2024, 13:15:40.491,0.0003222
374, 11/28/2024, 13:15:41.503,0.00032213
375, 11/28/2024, 13:15:42.516,0.00032212
376, 11/28/2024, 13:15:43.526,0.00032211
377, 11/28/2024, 13:15:44.539,0.00032218
378, 11/28/2024, 13:15:45.555,0.00032225
379, 11/28/2024, 13:15:46.565,0.00032225
380, 11/28/2024, 13:15:47.580,0.0003223
381, 11/28/2024, 13:15:48.591,0.00032225
382, 11/28/2024, 13:15:49.604,0.00032222
383, 11/28/2024, 13:15:50.620,0.00032217
384, 11/28/2024, 13:15:51.630,0.00032209
385, 11/28/2024, 13:15:52.643,0.00032214
386, 11/28/2024, 13:15:53.657,0.00032214
387, 11/28/2024, 13:15:54.667,0.0003222
